,Title 1,Meta Description 1,H1-1
1310,"Nike - ""All Together (60 sec)""",Television All Together (60 sec) for Nike by Wieden + Kennedy - Andre 3000 performs All Together Now as a cast of basketball greats come together to cele...,"Nike - ""All Together (60 sec)"""
1311,"Nike - ""All Together (30 sec)""",Television All Together (30 sec) for Nike by Wieden + Kennedy - Andre 3000 performs All Together Now as a cast of basketball greats come together to cele...,"Nike - ""All Together (30 sec)"""
1312,"NHL - ""No Words""",Television No Words for NHL by Y&R New York - There are no words.,"NHL - ""No Words"""
1313,"adidas - ""Star Wars Cantina""",Television Star Wars Cantina for adidas by SID LEE MONTREAL - Celebrate Originality,"adidas - ""Star Wars Cantina"""
1314,"EDF Energy - ""Team Green Britain""",Television & Cinema Team Green Britain for EDF Energy by Havas London ,"EDF Energy - ""Team Green Britain"""
1315,"Chivas - ""Live with Chivalry""",Television & Cinema Live with Chivalry for Chivas by Havas London  - Live with Chivalry,"Chivas - ""Live with Chivalry"""
1316,"Nokia - ""Greatest match ever played?""",Web Film Greatest match ever played? for Nokia by Jack Morton Worldwide,"Nokia - ""Greatest match ever played?"""
1317,"Verivox - ""The Puke Kicker""",Television The Puke Kicker for Verivox by samcon group,"Verivox - ""The Puke Kicker"""
1318,"ESPN - ""Passion""",Television Passion for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Passion"""
1319,"ESPN - ""Glory""",Television Glory for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Glory"""
1320,"Mcfit - ""McFit vs. FC Bayern Munich (Film)""","Case Study McFit vs. FC Bayern Munich (Film) for Mcfit by HEIMAT Berlin - SUMMARY:
With over 100 locations and 800,000 members, McFit is one of the top 5...","Mcfit - ""McFit vs. FC Bayern Munich (Film)"""
1321,"Rexona Sportfan - ""Zombies""",Television Zombies for Rexona Sportfan by Ponce MullenLowe,"Rexona Sportfan - ""Zombies"""
1322,"Nike - ""Finish Line""",Print Finish Line for Nike by DON'T DO BILLY,"Nike - ""Finish Line"""
1323,"Dodge - ""Freedom""",Television & Cinema Freedom for Dodge by Wieden + Kennedy - The spot is a retelling of an important battle in the American Revolutionary War. Its told as...,"Dodge - ""Freedom"""
1324,"EA Sports - ""Blindfolded Challenge""","Web Film Blindfolded Challenge for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a pres...","EA Sports - ""Blindfolded Challenge"""
1325,"EA Sports - ""Make your Team the Biggest Today: FIFA Earth""","Web Site Make your Team the Biggest Today: FIFA Earth for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports...","EA Sports - ""Make your Team the Biggest Today: FIFA Earth"""
1326,"EA Sports - ""Fly Emirates""","Print Fly Emirates for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a presence in more...","EA Sports - ""Fly Emirates"""
1327,"EA Sports - ""40 Million Goals...""","Web Advertising/Banners 40 Million Goals... for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video game...","EA Sports - ""40 Million Goals..."""
1328,"EA Sports - ""Team Golf""",Television Team Golf for EA Sports by Heat - EA Sports. It's in the game.,"EA Sports - ""Team Golf"""
1329,"Decathlon - ""World Cup 2010""","Television & Cinema World Cup 2010 for Decathlon by BETC Paris - For Decathlon, the World Cup is an occasion to remember its vision of sport. Its vision of...","Decathlon - ""World Cup 2010"""
1330,"Wilson - ""Court Couch""",Television Court Couch for Wilson by Doner - Feel More. More Feel.,"Wilson - ""Court Couch"""
1331,"Hyundai - ""Baby's Name""",Television Baby's Name for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""Baby's Name"""
1332,"Hyundai - ""Die Hard""",Television Die Hard for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""Die Hard"""
1333,"Hyundai - ""Beginning""",Print Beginning for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""Beginning"""
1334,"Hyundai - ""1950""",Print 1950 for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""1950"""
1335,"Hyundai - ""Perfect""",Print Perfect for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""Perfect"""
1336,"Hyundai - ""Loyalty""",Print Loyalty for Hyundai by INNOCEAN Worldwide USA,"Hyundai - ""Loyalty"""
1337,"Mercedes-Benz - ""Triumphant""",Television Triumphant for Mercedes-Benz by Merkley+Partners,"Mercedes-Benz - ""Triumphant"""
1338,"SportChek - ""Soccer""",Television Soccer for SportChek by Bos Advertising,"SportChek - ""Soccer"""
1339,"SportChek - ""Shoes""",Television Shoes for SportChek by Bos Advertising,"SportChek - ""Shoes"""
1340,"SportChek - ""Golf""",Television Golf for SportChek by Bos Advertising,"SportChek - ""Golf"""
1341,"SportChek - ""Bike""",Television Bike for SportChek by Bos Advertising,"SportChek - ""Bike"""
1342,"adidas - ""The Quest""",Television The Quest for adidas by 180 Amsterdam - Impossible is Nothing,"adidas - ""The Quest"""
1343,"Eurostar - ""Switzerland""",Print Switzerland for Eurostar by Leg,"Eurostar - ""Switzerland"""
1344,"Wiesmann - ""Build A Car""",Case Study Build A Car for Wiesmann by Faktor 3 AG,"Wiesmann - ""Build A Car"""
1345,"Olympikus - ""I Knew It""",Case Study I Knew It for Olympikus by DCS Comunicação,"Olympikus - ""I Knew It"""
1346,"Umbro - ""Tailored By England""",Case Study Tailored By England for Umbro by exposure,"Umbro - ""Tailored By England"""
1347,"The North Face - ""Red Flag""",Case Study Red Flag for The North Face by Ogilvy Shanghai,"The North Face - ""Red Flag"""
1348,"Nike - ""Chalkbot""",Web Advertising/Banners Chalkbot for Nike by Wieden + Kennedy,"Nike - ""Chalkbot"""
1349,"PowerBar - ""Sunrise""",Print Sunrise for PowerBar by Publicis Dallas - Be great.,"PowerBar - ""Sunrise"""
1350,"PowerBar - ""Vultures""",Print Vultures for PowerBar by Publicis Dallas - Be great.,"PowerBar - ""Vultures"""
1351,"PowerBar - ""Marco Polo""",Television Marco Polo for PowerBar by Publicis Dallas - Be great.,"PowerBar - ""Marco Polo"""
1352,"Audi - ""Our engineers have horses before bedtime. And suffer from insomnia.""",Print Our engineers have horses before bedtime. And suffer from insomnia. for Audi by AlmapBBDO  - Our engineers have horses before bedtime. And suffer fro...,"Audi - ""Our engineers have horses before bedtime. And suffer from insomnia."""
1353,"Audi - ""Monogamia, 120km/h nas estradas. A sociedade é mesmo cruel.""","Print Monogamia, 120km/h nas estradas. A sociedade é mesmo cruel. for Audi by AlmapBBDO  - Our engineers have horses before bedtime. And suffer from insomn...","Audi - ""Monogamia, 120km/h nas estradas. A sociedade é mesmo cruel."""
1354,"PMU - ""Haka""",Television & Cinema Haka for PMU by Publicis Conseil - Now we are doing rugby too,"PMU - ""Haka"""
1355,"PMU - ""Basket""",Television & Cinema Basket for PMU by Publicis Conseil - Now we are doing rugby too,"PMU - ""Basket"""
1356,"PMU - ""Hymn""",Television & Cinema Hymn for PMU by Publicis Conseil - Now we are doing rugby too,"PMU - ""Hymn"""
1357,"PMU - ""Tennis""",Television & Cinema Tennis for PMU by Publicis Conseil - Now we are doing rugby too,"PMU - ""Tennis"""
1358,"Fox Sports - ""Sand""",Television Sand for Fox Sports - This One Counts,"Fox Sports - ""Sand"""
1359,"ShaunWhite Skateboarding - ""Transformation""",Web Film Transformation for ShaunWhite Skateboarding by Cutwater,"ShaunWhite Skateboarding - ""Transformation"""
1360,"Nike - ""Fastest Means Greatest""",Television Fastest Means Greatest for Nike by Wieden + Kennedy Amsterdam - Write The Future,"Nike - ""Fastest Means Greatest"""
1361,"Ministry of Community Development, Youth And Sport - ""Funeral""","Television & Cinema Funeral for Ministry of Community Development, Youth And Sport by Leo Burnett Singapore","Ministry of Community Development, Youth And Sport - ""Funeral"""
1362,"DirecTV - ""Promise Land""",Television Promise Land for DirecTV by Deutsch - Every Game. Every Sunday.,"DirecTV - ""Promise Land"""
1363,"DirecTV - ""Referee""",Television Referee for DirecTV by Deutsch - Every Game. Every Sunday.,"DirecTV - ""Referee"""
1364,"DirecTV - ""Time Travel""",Television Time Travel for DirecTV by Deutsch - Every Game. Every Sunday.,"DirecTV - ""Time Travel"""
1365,"DirecTV - ""Tube Socks""",Television Tube Socks for DirecTV by Deutsch - Every Game. Every Sunday.,"DirecTV - ""Tube Socks"""
1366,"Off! - ""Stadium""",Television Stadium for Off! by FCB Chicago - Keeps Bugs Off!,"Off! - ""Stadium"""
1367,"adidas - ""The Goal Counter""",Television The Goal Counter for adidas by 180 Amsterdam - Impossible is Nothing,"adidas - ""The Goal Counter"""
1368,"LG - ""Can't Believe""",Television & Cinema Can't Believe for LG by Y&R London - RKCR/Y&R is launching a series of idents for LG Electronics on Channel 4 and E4 to showcase to 16-...,"LG - ""Can't Believe"""
1369,"Harris Bank - ""HAK""",Television HAK for Harris Bank by Element 79 - We're Here to Help.,"Harris Bank - ""HAK"""
1370,"Harris Bank - ""Slobber""",Television Slobber for Harris Bank by Element 79 - We're Here to Help3,"Harris Bank - ""Slobber"""
1371,"Di Gaspi - ""Twist All Sports""",POS Visibility Twist All Sports for Di Gaspi by Átomo Comunicação,"Di Gaspi - ""Twist All Sports"""
1372,"EA Sports - ""Unicef""","Print Unicef for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a presence in more than...","EA Sports - ""Unicef"""
1373,"EA Sports - ""T-Home""","Print T-Home for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a presence in more than...","EA Sports - ""T-Home"""
1374,"EA Sports - ""AIG""","Print AIG for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a presence in more than thi...","EA Sports - ""AIG"""
1375,"EA Sports - ""Warka""","Print Warka for EA Sports by Wieden + Kennedy Amsterdam - SUMMARY:
EA SPORTS is the leading developer of sports video games with a presence in more than t...","EA Sports - ""Warka"""
1376,"adidas - ""Comic Strip 1""","Print Comic Strip 1 for adidas by 180 Amsterdam - SUMMARY:
The objectives of the adidas campaign were to increase F50 sales without undermining margin, to...","adidas - ""Comic Strip 1"""
1377,"Johnsonville - ""Lambeau Field""",Television Lambeau Field for Johnsonville by Preston Kelly,"Johnsonville - ""Lambeau Field"""
1378,"Kia - ""Court""",Television Court for Kia by David&Goliath - drive change,"Kia - ""Court"""
1379,"Leif - ""Warm Up""",Outdoor/Out of Home Warm Up for Leif by Ogilvy & Mather Ukraine,"Leif - ""Warm Up"""
1380,"mcel - ""Who Broke the Vase?""",Television Who Broke the Vase? for mcel by DDB Mozambique - You can say everything with your fingers.,"mcel - ""Who Broke the Vase?"""
1381,"Totesport - ""Bet""",Television & Cinema Bet for Totesport by BJL Group - Totesport are a bookmakers famously associated with a horse racing. This ad's aim is to illustrate the...,"Totesport - ""Bet"""
1382,"DirecTV - ""Cheeseheads""",Television Cheeseheads for DirecTV by Deutsch,"DirecTV - ""Cheeseheads"""
1383,"DirecTV - ""Dallas Dog""",Television Dallas Dog for DirecTV by Deutsch,"DirecTV - ""Dallas Dog"""
1384,"DirecTV - ""Massfans""",Television Massfans for DirecTV by Deutsch,"DirecTV - ""Massfans"""
1385,"DirecTV - ""iAd Creative""",Social Media iAd Creative for DirecTV by Deutsch,"DirecTV - ""iAd Creative"""
1386,"New Era - ""Follow That Cap""",Television Follow That Cap for New Era by The Brooklyn Brothers - Grab The Cap The Pros Wear.,"New Era - ""Follow That Cap"""
1387,"Honda - ""Live Every Litre Trailer""","Television & Cinema Live Every Litre Trailer for Honda by Grey London - Live Every Litre is a social media activated, European road trip documentary projec...","Honda - ""Live Every Litre Trailer"""
1388,"Reebok - ""Free Bici""",Television Free Bici for Reebok by DDB Mexico - Your Move,"Reebok - ""Free Bici"""
1389,"Reebok - ""Hamster""",Television Hamster for Reebok by DDB Mexico - Your Move,"Reebok - ""Hamster"""
1390,"Arena - ""Noah's Ark""",Print Noah's Ark for Arena by VMLY&R ITALIA - Water Instinct,"Arena - ""Noah's Ark"""
1391,"V Isokinetic - ""Ladders""",Web Film Ladders for V Isokinetic by Colenso BBDO Auckland,"V Isokinetic - ""Ladders"""
1392,"Sprint - ""Injury""",Television Injury for Sprint by Goodby Silverstein & Partners - The Now Network,"Sprint - ""Injury"""
1393,"Gatorade - ""Axe""",Television Axe for Gatorade by BBDO Argentina - Drink it with your team.,"Gatorade - ""Axe"""
1394,"Gatorade - ""Magician""",Television Magician for Gatorade by BBDO Argentina - Drink it with your team.,"Gatorade - ""Magician"""
1395,"ESPN - ""Monday Action""",Television Monday Action for ESPN by Wieden + Kennedy - Are you ready for some football? This launch spot gets fans in the mood by setting a quick and inun...,"ESPN - ""Monday Action"""
1396,"vitaminwater - ""Time to Collect""",Web Film Time to Collect for vitaminwater by Zambezi,"vitaminwater - ""Time to Collect"""
1397,"YMCA - ""Basketball Billboard""",Billboard Basketball Billboard for YMCA by TBWA\Vancouver,"YMCA - ""Basketball Billboard"""
1398,"Sprint - ""Nash""",Television Nash for Sprint by Goodby Silverstein & Partners - Where amazing happens.,"Sprint - ""Nash"""
1399,"Corona - ""Football Trick""",Television Football Trick for Corona by Cramer-Krasselt - relax responsibly,"Corona - ""Football Trick"""
1400,"Above the Influence - ""Fitting In""",Television Fitting In for Above the Influence by McKinney,"Above the Influence - ""Fitting In"""
1401,"Gillette - ""Amazing Roger Federer Trickshot""",Web Film Amazing Roger Federer Trickshot for Gillette,"Gillette - ""Amazing Roger Federer Trickshot"""
1402,"SportChek - ""Helmet""",Television Helmet for SportChek by Bos Advertising,"SportChek - ""Helmet"""
1403,"K-Swiss - ""Nothing is Faster""",Television Nothing is Faster for K-Swiss by Mile 9 - Nothing is Faster,"K-Swiss - ""Nothing is Faster"""
1404,"Comcast - ""Shaq / Stein""",Television Shaq / Stein for Comcast by Digitas Boston - dream big,"Comcast - ""Shaq / Stein"""
1405,"Tide Sport - ""Venus""",Web Site Venus for Tide Sport by Saatchi & Saatchi NY - Style in as option. Clean is not.,"Tide Sport - ""Venus"""
1406,"Powerade - ""Never Ending Game""",Case Study Never Ending Game for Powerade by Publicis Sapient - Keep Playing,"Powerade - ""Never Ending Game"""
1407,"Old Spice - ""Raven""",Television Raven for Old Spice by Wieden + Kennedy - Anything is possible when you use Old Spice.,"Old Spice - ""Raven"""
1408,"Old Spice - ""Flexing""",Print Flexing for Old Spice by Wieden + Kennedy - Anything is possible when you use Old Spice.,"Old Spice - ""Flexing"""
1409,"Old Spice - ""3 Fingers""",Print 3 Fingers for Old Spice by Wieden + Kennedy - Anything is possible when you use Old Spice.,"Old Spice - ""3 Fingers"""
1410,"Old Spice - ""Rayven""",Print Rayven for Old Spice by Wieden + Kennedy - Anything is possible when you use Old Spice.,"Old Spice - ""Rayven"""
1411,"RBC - ""50,000""","Television 50,000 for RBC by BBDO Canada - Celebrating originality in film.","RBC - ""50,000"""
1412,"Buffalo Wild Wings Grill & Bar - ""Sprinkler Maestro""",Television Sprinkler Maestro for Buffalo Wild Wings Grill & Bar by 22squared - You Have To Be Here,"Buffalo Wild Wings Grill & Bar - ""Sprinkler Maestro"""
1413,"ESPN - ""Short Time Ago""","Television Short Time Ago for ESPN by Wieden + Kennedy - Whats crazier than a giant lobster-alien from a galaxy far, far away spearheading an attack on a...","ESPN - ""Short Time Ago"""
1414,"ESPN - ""Stone's Throw""",Television Stone's Throw for ESPN by Wieden + Kennedy - Is It Monday Yet?,"ESPN - ""Stone's Throw"""
1415,"Alton Towers - ""13""",Television 13 for Alton Towers by MullenLowe London,"Alton Towers - ""13"""
1416,"Alton Towers - ""Thorpe Park""",Television Thorpe Park for Alton Towers by MullenLowe London,"Alton Towers - ""Thorpe Park"""
1417,"Nike - ""Road to Boom: Moment 1""",Web Film Road to Boom: Moment 1 for Nike by Wieden + Kennedy,"Nike - ""Road to Boom: Moment 1"""
1418,"ESPN - ""Two Stops""","Television Two Stops for ESPN by Wieden + Kennedy - Two Stops begins with the ending, our done-in middle manager riding a miserably packed bus on his way...","ESPN - ""Two Stops"""
1419,"2K Sports - ""Signature Moves""",Television Signature Moves for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""Signature Moves"""
1420,"2K Sports - ""MJ Present Day (40 sec)""",Television MJ Present Day (40 sec) for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""MJ Present Day (40 sec)"""
1421,"2K Sports - ""MJ Present Day (15 sec)""",Television MJ Present Day (15 sec) for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""MJ Present Day (15 sec)"""
1422,"2K Sports - ""MJ Moments (80 sec)""",Television MJ Moments (80 sec) for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""MJ Moments (80 sec)"""
1423,"2K Sports - ""MJ Moments (35 sec)""",Television MJ Moments (35 sec) for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""MJ Moments (35 sec)"""
1424,"2K Sports - ""MJ Moments (15 sec)""",Television MJ Moments (15 sec) for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""MJ Moments (15 sec)"""
1425,"2K Sports - ""Iguodala Night""",Television Iguodala Night for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""Iguodala Night"""
1426,"2K Sports - ""Genghis Kahn""",Television Genghis Kahn for 2K Sports by 72andSunny - Become The Greatest,"2K Sports - ""Genghis Kahn"""
1427,"Canon - ""Journey (60 sec)""",Television Journey (60 sec) for Canon by Grey New York,"Canon - ""Journey (60 sec)"""
1428,"Ok - ""Trampoline""",Television Trampoline for Ok by Grey New York,"Ok - ""Trampoline"""
1429,"Converse - ""The Procession""",Television The Procession for Converse by Anomaly New York,"Converse - ""The Procession"""
1430,"Puma - ""Sport Moto""",Television & Cinema Sport Moto for Puma by Partizan New York,"Puma - ""Sport Moto"""
1431,"Glasgow 2014 Ltd - ""The XX Commonwealth Games""",Television & Cinema The XX Commonwealth Games for Glasgow 2014 Ltd by Marque Creative,"Glasgow 2014 Ltd - ""The XX Commonwealth Games"""
1432,"Voltaren - ""Sport Commentator""",Television Sport Commentator for Voltaren by Saatchi & Saatchi,"Voltaren - ""Sport Commentator"""
1433,"Prva liga - ""Acting""","Television Acting for Prva liga by Futura DDB Slovenia - If you breathe football, watch it live","Prva liga - ""Acting"""
1434,"adidas - ""Slim Chin and Derrick Rose""",Television Slim Chin and Derrick Rose for adidas by 180LA,"adidas - ""Slim Chin and Derrick Rose"""
1435,"adidas - ""Fast Don't Lie""",Web Film Fast Don't Lie for adidas by 180LA,"adidas - ""Fast Don't Lie"""
1436,"Allstate Insurance - ""Lawn Game""",Television Lawn Game for Allstate Insurance by Leo Burnett Chicago,"Allstate Insurance - ""Lawn Game"""
1437,"Quiksilver - ""Evolution""",Television Evolution for Quiksilver by Standard Time,"Quiksilver - ""Evolution"""
1438,"New York Road Runners - ""Day After""","Television Day After for New York Road Runners by Absolute - 
Flashing forward post-marathon, Day After follows various New York runners heading back to wo...","New York Road Runners - ""Day After"""
1439,"New York Road Runners - ""Volunteers""","Television Volunteers for New York Road Runners by Absolute - 
In Volunteers and Fans,  split screen narratives chronicle a day-in-the-life of NYC Marathon...","New York Road Runners - ""Volunteers"""
1440,"New York Road Runners - ""Fans""","Television Fans for New York Road Runners by Absolute - 
In Volunteers and Fans,  split screen narratives chronicle a day-in-the-life of NYC Marathon  runn...","New York Road Runners - ""Fans"""
1441,"New York Road Runners - ""Party""",Television Party for New York Road Runners by Absolute,"New York Road Runners - ""Party"""
1442,"NFL - ""Me, Myself and I""","Television Me, Myself and I for NFL by Grey New York - There Is No One Else Like You.","NFL - ""Me, Myself and I"""
1443,"NFL - ""Pain & Fortune""",Television Pain & Fortune for NFL by Grey New York,"NFL - ""Pain & Fortune"""
1444,"Acura TSX - ""Transformation""",Television Transformation for Acura TSX by RPA - Advance.,"Acura TSX - ""Transformation"""
1445,"Land Rover - ""Claynation""",Television Claynation for Land Rover by Wunderman Thompson - Why get a car when you can get a Land Rover?,"Land Rover - ""Claynation"""
1446,"Fidelity Investments - ""Imagine""",Television & Cinema Imagine for Fidelity Investments by Arnold,"Fidelity Investments - ""Imagine"""
1447,"XXL - ""Punks""",Television Punks for XXL by Schjærven A/S - All Sports United,"XXL - ""Punks"""
1448,"Bojangles - ""Sportscasters""",Television Sportscasters for Bojangles by BooneOakley,"Bojangles - ""Sportscasters"""
1449,"Electronic Arts - ""We Are 11""",Television & Cinema We Are 11 for Electronic Arts by Wieden + Kennedy Amsterdam - <!--[if gte mso 9]><xml>  Normal 0     false false false  EN-US...,"Electronic Arts - ""We Are 11"""
1450,"NYSC - ""Pat-Down""",Magazine Custom Publishing Pat-Down for NYSC by Octopus Design Group - there's a million reasons to join,"NYSC - ""Pat-Down"""
1451,"Kia - ""The Sportage Drive Change Story""",Television The Sportage Drive Change Story for Kia by David&Goliath - Drive Change,"Kia - ""The Sportage Drive Change Story"""
1452,"Nike - ""Cano""",Television Cano for Nike by Wieden + Kennedy,"Nike - ""Cano"""
1453,"Nike - ""Drum Line""",Television Drum Line for Nike by Wieden + Kennedy,"Nike - ""Drum Line"""
1454,"Nike - ""High School Football""",Television High School Football for Nike by Wieden + Kennedy,"Nike - ""High School Football"""
1455,"Nike - ""Rick Ross""",Television Rick Ross for Nike by Wieden + Kennedy,"Nike - ""Rick Ross"""
1456,"Nike - ""Tailor""",Television Tailor for Nike by Wieden + Kennedy,"Nike - ""Tailor"""
1457,"Nike - ""Coaches""",Television Coaches for Nike by Wieden + Kennedy,"Nike - ""Coaches"""
1458,"Nike - ""Craig Cano""",Television Craig Cano for Nike by Wieden + Kennedy,"Nike - ""Craig Cano"""
1459,"Nike - ""Hope""",Television Hope for Nike by Wieden + Kennedy,"Nike - ""Hope"""
1460,"Nike - ""Huddle""",Television Huddle for Nike by Wieden + Kennedy,"Nike - ""Huddle"""
1461,"Nike - ""Lacrosse""",Television Lacrosse for Nike by Wieden + Kennedy,"Nike - ""Lacrosse"""
1462,"Nike - ""Say BOOM""",Television Say BOOM for Nike by Wieden + Kennedy,"Nike - ""Say BOOM"""
1463,"Nissan - ""Drift Video""",Television & Cinema Drift Video for Nissan by Juniper Park\TBWA,"Nissan - ""Drift Video"""
1464,"ESPN - ""Tuesdays""",Television & Cinema Tuesdays for ESPN by Wieden + Kennedy,"ESPN - ""Tuesdays"""
1465,"ESPN - ""Chris Johnson""",Television & Cinema Chris Johnson for ESPN by Wieden + Kennedy,"ESPN - ""Chris Johnson"""
1466,"ESPN - ""Call In""",Television & Cinema Call In for ESPN by Wieden + Kennedy,"ESPN - ""Call In"""
1467,"EA Sports - ""Global Ring""",Television Global Ring for EA Sports by Heat - EA Sports. It's in the game.,"EA Sports - ""Global Ring"""
1468,"Smirnoff - ""Purity""",Television Purity for Smirnoff by J. Walter Thompson Sydney - Discover Extraordinary Purity,"Smirnoff - ""Purity"""
1469,"Newsday - ""Transformer""",Television Transformer for Newsday by The Brooklyn Brothers - Every day. In a whole new way.,"Newsday - ""Transformer"""
1470,"T-Mobile - ""Your Wife Saw""","Case Study Your Wife Saw for T-Mobile by Conill - The witty ""Your Wife Saw"" campaign – an entertaining media integration and placement on a live Fox...","T-Mobile - ""Your Wife Saw"""
1471,"Gatorade - ""Replay""",Television Replay for Gatorade by TBWA\Chiat\Day Los Angeles,"Gatorade - ""Replay"""
1472,"TaylorMade - ""Taylormade R11 Driver TV Sneak Peek""",Web Film Taylormade R11 Driver TV Sneak Peek for TaylorMade by NYCA,"TaylorMade - ""Taylormade R11 Driver TV Sneak Peek"""
1473,"Smartbox - ""Totems 1""","Print Totems 1 for Smartbox by Shackleton Group - Smartbox, industry leader gift boxes, launches an innovative campaign to recreate the experiences of thei...","Smartbox - ""Totems 1"""
1474,"Smartbox - ""Totems 2""","Print Totems 2 for Smartbox by Shackleton Group - Smartbox, industry leader gift boxes, launches an innovative campaign to recreate the experiences of thei...","Smartbox - ""Totems 2"""
1475,"ESPN - ""Spy""",Television Spy for ESPN by Wieden + Kennedy - This is Sportscenter.,"ESPN - ""Spy"""
1476,"T-Mobile - ""Chuck's Remix""",Television Chuck's Remix for T-Mobile by Publicis Seattle,"T-Mobile - ""Chuck's Remix"""
1477,"T-Mobile - ""Outta Here""",Television Outta Here for T-Mobile by Publicis Seattle,"T-Mobile - ""Outta Here"""
1478,"ASICS - ""Tennis""","Print Tennis for ASICS by Vitro - sound mind, sound body","ASICS - ""Tennis"""
1479,"Eat Lamb - ""Australia Day 2011""","Television Australia Day 2011 for Eat Lamb by BMF - Australia’s Lambassador, Sam Kekovich, has embarked on another diplambatic mission, this time to...","Eat Lamb - ""Australia Day 2011"""
1480,"ESPN - ""Childbirth""",Television Childbirth for ESPN by The Many,"ESPN - ""Childbirth"""
1481,"ESPN - ""Dinner""",Television Dinner for ESPN by The Many,"ESPN - ""Dinner"""
1482,"ESPN - ""Wedding""",Television Wedding for ESPN by The Many,"ESPN - ""Wedding"""
1483,"Nike+ - ""RUN Fwd""",Television RUN Fwd for Nike+ by Wieden + Kennedy - RUN Fwd,"Nike+ - ""RUN Fwd"""
1484,"FFF - ""The Fight""",Outdoor/Out of Home The Fight for FFF by DDB Paris,"FFF - ""The Fight"""
1485,"Gatorade - ""Why Prime""",Television Why Prime for Gatorade by TBWA\Chiat\Day Los Angeles - Outdo Yourself,"Gatorade - ""Why Prime"""
1486,"Nike Football - ""Cyrano de Bergerac""",Television Cyrano de Bergerac for Nike Football by Leg - Vive le Football Libre,"Nike Football - ""Cyrano de Bergerac"""
1487,"INPES Nutrition - ""Chalk""",Television Chalk for INPES Nutrition by Havas Paris - Being active for 30 minutes a day is easy,"INPES Nutrition - ""Chalk"""
1488,"INPES Nutrition - ""Chalk (French)""",Television Chalk (French) for INPES Nutrition by Havas Paris - Being active for 30 minutes a day is easy,"INPES Nutrition - ""Chalk (French)"""
1489,"Mazda - ""Climbing""",Print Climbing for Mazda by BBR Saatchi & Saatchi - Always On The Go,"Mazda - ""Climbing"""
1490,"Mazda - ""Diving""",Print Diving for Mazda by BBR Saatchi & Saatchi - Always On The Go,"Mazda - ""Diving"""
1491,"Mazda - ""Basketball""",Print Basketball for Mazda by BBR Saatchi & Saatchi - Always On The Go,"Mazda - ""Basketball"""
1492,"Mazda - ""Gymnastics""",Print Gymnastics for Mazda by BBR Saatchi & Saatchi - Always On The Go,"Mazda - ""Gymnastics"""
1493,"NBA - ""Amar'e""",Television Amar'e for NBA by Goodby Silverstein & Partners - Where amazing happens.,"NBA - ""Amar'e"""
1494,"ESPN - ""Aloha Alabama""",Television & Cinema Aloha Alabama for ESPN by Wieden + Kennedy,"ESPN - ""Aloha Alabama"""
1495,"Vattenfall - ""Electricity for Winter Sports""",Television & Cinema Electricity for Winter Sports for Vattenfall by Brindfors MullenLowe - Pioneering solutions for everday life,"Vattenfall - ""Electricity for Winter Sports"""
1496,"Nike Basketball - ""Meet the Mamba""",Web Film Meet the Mamba for Nike Basketball by Wieden + Kennedy - <!--[if gte mso 9]><xml>  Normal 0     false false false  EN-US X-NONE X-NONE...,"Nike Basketball - ""Meet the Mamba"""
1497,"Nike Basketball - ""The Black Mamba""",Print The Black Mamba for Nike Basketball by Wieden + Kennedy,"Nike Basketball - ""The Black Mamba"""
1498,"Nike Basketball - ""Mamba vs. The Boss""",Web Film Mamba vs. The Boss for Nike Basketball by Wieden + Kennedy - <!--[if gte mso 9]><xml>  Normal 0     false false false  EN-US X-NONE X-NON...,"Nike Basketball - ""Mamba vs. The Boss"""
1499,"Fox Sports - ""Dr. Phil: Ring Envy""",Television Dr. Phil: Ring Envy for Fox Sports - It's good to have a ring,"Fox Sports - ""Dr. Phil: Ring Envy"""
